pop	sample_set	country	year	location	species_gambiae_coluzzii	latitude	longitude	aim_fraction_colu	aim_fraction_arab	counts	chrom	sample_size	independent_comparisons	overall_r^2	expected_r^2	Ne_estimate	Parametric_CI_lower	Parametric_CI_upper	Jackknife_CI_lower	Jackknife_CI_upper
AG1000G-AO.Luanda.2009.coluzzii	AG1000G-AO	Angola	2009	Luanda	coluzzii	-8.884000000000011	13.302000000000008	0.9379012345679014	0.0011358024691358033	81	2L	81.0	41427742	0.013948	0.012832	296.6	295.0	298.2	157.9	1385.6
AG1000G-AO.Luanda.2009.coluzzii	AG1000G-AO	Angola	2009	Luanda	coluzzii	-8.884000000000011	13.302000000000008	0.9379012345679014	0.0011358024691358033	81	2R	81.0	41445955	0.013800	0.012832	342.2	340.1	344.3	177.8	2064.6
AG1000G-AO.Luanda.2009.coluzzii	AG1000G-AO	Angola	2009	Luanda	coluzzii	-8.884000000000011	13.302000000000008	0.9379012345679014	0.0011358024691358033	81	3L	81.0	42462715	0.014134	0.012832	253.9	252.7	255.1	137.9	993.8
AG1000G-AO.Luanda.2009.coluzzii	AG1000G-AO	Angola	2009	Luanda	coluzzii	-8.884000000000011	13.302000000000008	0.9379012345679014	0.0011358024691358033	81	3R	81.0	42306192	0.013864	0.012832	321.0	319.1	322.8	181.5	1074.6
AG1000G-AO.Luanda.2009.coluzzii	AG1000G-AO	Angola	2009	Luanda	coluzzii	-8.884000000000011	13.302000000000008	0.9379012345679014	0.0011358024691358033	81	X	81.0	42582605	0.014370	0.012832	214.6	213.8	215.5	127.2	552.4
AG1000G-BF-A.Bana.2012.coluzzii	AG1000G-BF-A	Burkina Faso	2012	Bana	coluzzii	11.233000000000002	-4.472000000000001	0.975738095238095	0.0020238095238095254	42	2L	42.0	43631806	0.025569	0.025618	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-A.Bana.2012.coluzzii	AG1000G-BF-A	Burkina Faso	2012	Bana	coluzzii	11.233000000000002	-4.472000000000001	0.975738095238095	0.0020238095238095254	42	2R	42.0	46556425	0.025838	0.025618	1510.0	1441.3	1585.6	972.2	3344.5
AG1000G-BF-A.Bana.2012.coluzzii	AG1000G-BF-A	Burkina Faso	2012	Bana	coluzzii	11.233000000000002	-4.472000000000001	0.975738095238095	0.0020238095238095254	42	3L	42.0	47536124	0.025525	0.025618	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-A.Bana.2012.coluzzii	AG1000G-BF-A	Burkina Faso	2012	Bana	coluzzii	11.233000000000002	-4.472000000000001	0.975738095238095	0.0020238095238095254	42	3R	42.0	47098363	0.025562	0.025618	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-A.Bana.2012.coluzzii	AG1000G-BF-A	Burkina Faso	2012	Bana	coluzzii	11.233000000000002	-4.472000000000001	0.975738095238095	0.0020238095238095254	42	X	42.0	46421429	0.025782	0.025618	2028.9	1906.8	2167.5	840.7	Infinite
